DS,NG CONS EGAT,NG CONS GSP,NG CONS IPP,NG CONS Industry,NG CONS NGV,NG CONS SPP,NG PRD Domestic,NG PRD Import,POWGEN DEDP,POWGEN EGAT,POWGEN IPP,POWGEN Import,POWGEN SPP,POWGEN VSPP
2012-12-31,1339.0,1035.0,915.0,600.0,278.0,456.0,4075.0,981.0,0.0,6756.5340000000015,5606.227,412.88699999999994,1471.256,264.069117
2012-02-29,1263.0,730.0,873.0,626.0,276.0,424.0,3596.0,917.0,0.0,6679.259,5301.268,799.212,1098.637,206.09623200000001
2012-01-31,1177.0,924.0,714.0,584.0,267.0,406.0,3892.0,708.0,0.0,6520.5030000000015,5083.862,484.49,1227.9460000000001,196.063054
2012-07-31,1466.0,989.0,958.0,639.0,271.0,398.0,4267.0,1040.0,0.0,6718.834000000002,6279.116999999999,946.702,1193.245,203.63198899999998
2012-06-30,1386.0,979.0,1026.0,631.0,280.0,404.0,3900.0,1161.0,0.0,6774.1500000000015,6006.804,937.377,1172.139,220.187454
2012-03-31,1386.0,960.0,915.0,601.0,279.0,412.0,3846.0,1118.0,0.0,7257.474,5875.32,1163.708,1274.388,228.23220899999998
2012-05-31,1342.0,949.0,944.0,635.0,278.0,406.0,3944.0,945.0,0.0,7227.120000000001,6191.6669999999995,1076.0410000000002,1257.953,226.849722
2012-11-30,1420.0,1034.0,1042.0,647.0,292.0,458.0,4312.0,1019.0,0.0,6991.49,5998.703,519.156,1313.715,199.102304
2012-10-31,1314.0,1017.0,1045.0,646.0,285.0,424.0,4122.0,1039.0,0.0,6533.259,6465.892,797.1060000000001,1339.1779999999999,188.20320900000002
2012-09-30,1349.0,942.0,894.0,655.0,284.0,424.0,4077.0,925.0,0.0,6325.972,5766.566,1140.617,1275.845,167.59149
2013-04-30,1267.0,984.0,743.0,615.0,291.0,599.0,4112.0,893.0,0.0,6496.109,5549.361999999999,1140.099,1808.8310000000001,330.698546
