YEAR_PRD,MONTH_PRD,FUELTYPE,QTY
1992,DEC,Hydro Electricity,323.59
1992,DEC,Fuel Oil,1105.42
1992,DEC,Coal & Lignite,958.54
1992,DEC,Natural Gas,2314.54
1992,DEC,Diesel,0.98
1992,DEC,Imported,19.73
1992,DEC,Renewable Energy,1.66
1992,FEB,Hydro Electricity,404.93
1992,FEB,Fuel Oil,1213.75
1992,FEB,Coal & Lignite,1173.14
1992,FEB,Natural Gas,1368.82
1992,FEB,Diesel,1.25
1992,FEB,Imported,35.23
1992,FEB,Renewable Energy,1.89
1992,JAN,Hydro Electricity,338.98
1992,JAN,Fuel Oil,1128.07
1992,JAN,Coal & Lignite,1301.86
1992,JAN,Natural Gas,1436.21
1992,JAN,Diesel,0.97
1992,JAN,Imported,23.44
1992,JAN,Renewable Energy,1.69
1992,JUL,Hydro Electricity,281.89
1992,JUL,Fuel Oil,1274.84
1992,JUL,Coal & Lignite,1406.82
1992,JUL,Natural Gas,1941.91
1992,JUL,Diesel,31.39
1992,JUL,Imported,69.72
1992,JUL,Renewable Energy,0.57
1992,JUN,Hydro Electricity,335.12
1992,JUN,Fuel Oil,1370.41
1992,JUN,Coal & Lignite,1298.16
1992,JUN,Natural Gas,1830.98
1992,JUN,Diesel,21.92
1992,JUN,Imported,46.55
1992,JUN,Renewable Energy,0.43
1992,MAR,Hydro Electricity,561.37
1992,MAR,Fuel Oil,1559.49
1992,MAR,Coal & Lignite,1277.74
1992,MAR,Natural Gas,1500.77
1992,MAR,Diesel,6.39
1992,MAR,Imported,21.03
1992,MAR,Renewable Energy,1.85
1992,MAY,Hydro Electricity,402.01
1992,MAY,Fuel Oil,1435.44
1992,MAY,Coal & Lignite,1220.56
1992,MAY,Natural Gas,2004.46
1992,MAY,Diesel,4.04
1992,MAY,Imported,34.38
1992,MAY,Renewable Energy,1.61
1992,NOV,Hydro Electricity,269.54
1992,NOV,Fuel Oil,1133.13
1992,NOV,Coal & Lignite,996.25
1992,NOV,Natural Gas,2214.63
1992,NOV,Diesel,4.84
1992,NOV,Imported,27.64
1992,NOV,Renewable Energy,2.32
1992,OCT,Hydro Electricity,276.86
