YEAR_PRD,MONTH_PRD,FUEL_SOURCE,QTY
1999,APR,SPP,780.39
1999,APR,IPP,1232.232
1999,AUG,EGAT,5808.471
1999,AUG,IMPORTED,258.48
1999,AUG,DEDP,7.328
1999,AUG,SPP,759.754
1999,AUG,IPP,1180.642
1999,DEC,EGAT,4801.531999999999
1999,DEC,IMPORTED,250.826
1999,DEC,DEDP,1.188
1999,DEC,SPP,792.62
1999,DEC,IPP,1080.866
1999,FEB,EGAT,5160.273999999999
1999,FEB,IMPORTED,63.178
1999,FEB,DEDP,1.076
1999,FEB,SPP,398.408
1999,FEB,IPP,1101.476
1999,JAN,EGAT,5389.486000000001
1999,JAN,IMPORTED,102.681
1999,JAN,DEDP,0.818
1999,JAN,SPP,385.311
1999,JAN,IPP,1143.123
1999,JUL,EGAT,5998.445
1999,JUL,IMPORTED,241.722
1999,JUL,DEDP,5.501
1999,JUL,SPP,654.96
1999,JUL,IPP,1203.768
1999,JUN,EGAT,5695.25
1999,JUN,IMPORTED,199.057
1999,JUN,DEDP,3.25
1999,JUN,SPP,1015.65
1999,JUN,IPP,1232.388
1999,MAR,EGAT,6398.139999999999
1999,MAR,IMPORTED,61.91
1999,MAR,DEDP,1.763
1999,MAR,SPP,501.312
1999,MAR,IPP,1279.603
1999,MAY,EGAT,5661.098000000001
1999,MAY,IMPORTED,177.146
1999,MAY,DEDP,1.969
1999,MAY,SPP,905.681
1999,MAY,IPP,1281.536
1999,NOV,EGAT,5543.861000000001
1999,NOV,IMPORTED,262.92
1999,NOV,DEDP,1.151
1999,NOV,SPP,670.014
1999,NOV,IPP,1198.663
1999,OCT,EGAT,5734.424000000001
1999,OCT,IMPORTED,283.139
1999,OCT,DEDP,1.758
1999,OCT,SPP,725.106
1999,OCT,IPP,1189.592
1999,SEP,EGAT,5761.755000000001
1999,SEP,IMPORTED,277.656
1999,SEP,DEDP,6.794
1999,SEP,SPP,763.948
1999,SEP,IPP,1135.679
2000,APR,EGAT,5822.869000000001
2000,APR,IMPORTED,192.371
2000,APR,DEDP,2.839
2000,APR,SPP,752.322
2000,APR,IPP,1238.858
2000,AUG,EGAT,5631.994000000001
2000,AUG,IMPORTED,320.312
2000,AUG,DEDP,2.567
2000,AUG,SPP,788.435
2000,AUG,IPP,1795.48
2000,DEC,EGAT,4840.209999999999
2000,DEC,IMPORTED,227.723
2000,DEC,DEDP,2.572
2000,DEC,SPP,955.618
2000,DEC,IPP,1944.257
2000,FEB,EGAT,5415.570000000001
2000,FEB,IMPORTED,137.867
2000,FEB,DEDP,2.195
2000,FEB,SPP,702.995
2000,FEB,IPP,1134.585
2000,JAN,EGAT,5440.6089999999995
2000,JAN,IMPORTED,176.639
2000,JAN,DEDP,1.763
2000,JAN,SPP,803.34
2000,JAN,IPP,1284.688
2000,JUL,EGAT,5797.021000000001
2000,JUL,IMPORTED,301.01
2000,JUL,DEDP,3.574
2000,JUL,SPP,825.171
2000,JUL,IPP,1525.35
2000,JUN,EGAT,5875.466999999999
2000,JUN,IMPORTED,267.332
2000,JUN,DEDP,3.498
2000,JUN,SPP,863.286
2000,JUN,IPP,1411.576
2000,MAR,EGAT,6371.783
2000,MAR,IMPORTED,167.361
2000,MAR,DEDP,2.333
2000,MAR,SPP,864.826
2000,MAR,IPP,1199.615
2000,MAY,EGAT,6159.4039999999995
2000,MAY,IMPORTED,294.31
2000,MAY,DEDP,3.932
2000,MAY,SPP,899.835
2000,MAY,IPP,1392.575
2000,NOV,EGAT,4520.957
2000,NOV,IMPORTED,246.174
2000,NOV,DEDP,0.362
2000,NOV,SPP,963.563
2000,NOV,IPP,2088.638
2000,OCT,EGAT,5663.240000000001
2000,OCT,IMPORTED,298.645
2000,OCT,SPP,915.462
2000,OCT,IPP,1617.915
2000,SEP,EGAT,5568.0419999999995
2000,SEP,IMPORTED,336.509
2000,SEP,SPP,840.687
2000,SEP,IPP,1579.387
2001,APR,EGAT,5436.332
2001,APR,IMPORTED,138.515
2001,APR,DEDP,4.035
2001,APR,SPP,901.14
2001,APR,IPP,2501.702
2001,AUG,EGAT,5423.819
2001,AUG,IMPORTED,316.532
2001,AUG,DEDP,4.111
2001,AUG,SPP,1008.982
2001,AUG,IPP,2304.051
2001,DEC,EGAT,4475.103
2001,DEC,IMPORTED,213.273
2001,DEC,DEDP,0.808
2001,DEC,SPP,1007.261
2001,DEC,IPP,2400.956
2001,FEB,EGAT,4621.496
2001,FEB,IMPORTED,158.355
2001,FEB,DEDP,2.115
2001,FEB,SPP,886.965
2001,FEB,IPP,2258.148
2001,JAN,EGAT,4607.612000000001
2001,JAN,IMPORTED,206.111
2001,JAN,DEDP,2.349
2001,JAN,SPP,975.171
2001,JAN,IPP,2333.252
2001,JUL,EGAT,5143.403
2001,JUL,IMPORTED,318.688
2001,JUL,DEDP,2.263
2001,JUL,SPP,912.524
2001,JUL,IPP,2636.478
2001,JUN,EGAT,5464.189
2001,JUN,IMPORTED,279.938
2001,JUN,DEDP,3.467
2001,JUN,SPP,948.165
2001,JUN,IPP,2201.77
2001,MAR,EGAT,5236.892999999999
2001,MAR,IMPORTED,171.131
2001,MAR,DEDP,2.939
2001,MAR,SPP,1038.505
2001,MAR,IPP,2477.888
2001,MAY,EGAT,5573.925
2001,MAY,IMPORTED,205.79
2001,MAY,DEDP,3.597
2001,MAY,SPP,874.706
2001,MAY,IPP,2432.035
2001,NOV,EGAT,4883.46
2001,NOV,IMPORTED,257.962
2001,NOV,DEDP,0.75
2001,NOV,SPP,1026.938
2001,NOV,IPP,1903.203
2001,OCT,EGAT,5249.2660000000005
2001,OCT,IMPORTED,302.729
2001,OCT,DEDP,2.357
2001,OCT,SPP,1056.529
2001,OCT,IPP,2235.676
2001,SEP,EGAT,5238.178999999999
2001,SEP,IMPORTED,312.69
2001,SEP,DEDP,2.286
2001,SEP,SPP,1007.405
2001,SEP,IPP,2272.983
2002,APR,EGAT,5571.886
2002,APR,IMPORTED,163.458
2002,APR,DEDP,2.807
2002,APR,SPP,1011.909
2002,APR,IPP,2628.297
2002,AUG,EGAT,5060.6050000000005
2002,AUG,IMPORTED,313.36
2002,AUG,DEDP,3.529
2002,AUG,SPP,1097.063
2002,AUG,IPP,3124.977
2002,DEC,EGAT,4642.279
2002,DEC,IMPORTED,223.118
2002,DEC,DEDP,0.775
2002,DEC,SPP,1053.694
2002,DEC,IPP,3232.521
2002,FEB,EGAT,5183.422
2002,FEB,IMPORTED,149.192
2002,FEB,DEDP,2.067
2002,FEB,SPP,907.955
2002,FEB,IPP,1945.315
2002,JAN,EGAT,4824.380999999999
2002,JAN,IMPORTED,190.302
2002,JAN,DEDP,1.746
2002,JAN,SPP,995.499
2002,JAN,IPP,2252.085
2002,JUL,EGAT,4731.823
2002,JUL,IMPORTED,301.329
2002,JUL,DEDP,3.529
2002,JUL,SPP,1086.261
2002,JUL,IPP,3629.057
2002,JUN,EGAT,4628.901000000001
2002,JUN,IMPORTED,271.794
2002,JUN,DEDP,2.602
2002,JUN,SPP,1071.202
2002,JUN,IPP,3509.655
2002,MAR,EGAT,6223.583999999999
2002,MAR,IMPORTED,146.5
2002,MAR,DEDP,2.314
2002,MAR,SPP,1086.212
2002,MAR,IPP,2228.503
2002,MAY,EGAT,4954.962
2002,MAY,IMPORTED,221.697
2002,MAY,DEDP,2.921
2002,MAY,SPP,1082.675
2002,MAY,IPP,3392.415
2002,NOV,EGAT,4847.597000000001
2002,NOV,IMPORTED,241.297
2002,NOV,DEDP,0.749
2002,NOV,SPP,1061.57
2002,NOV,IPP,3028.723
2002,OCT,EGAT,5247.355
2002,OCT,IMPORTED,300.716
2002,OCT,DEDP,3.515
2002,OCT,SPP,1087.528
2002,OCT,IPP,2935.43
2002,SEP,EGAT,5475.715999999999
2002,SEP,IMPORTED,289.412
2002,SEP,DEDP,5.153
2002,SEP,SPP,1006.681
2002,SEP,IPP,2562.249
2003,APR,EGAT,5087.9259999999995
2003,APR,IMPORTED,114.733
2003,APR,DEDP,2.822
2003,APR,SPP,1114.293
2003,APR,IPP,3643.328
2003,AUG,EGAT,4483.381
2003,AUG,IMPORTED,259.511
2003,AUG,DEDP,3.722
2003,AUG,SPP,1131.573
2003,AUG,IPP,4385.403
2003,DEC,EGAT,4566.428999999999
2003,DEC,IMPORTED,181.648
2003,DEC,DEDP,1.166
2003,DEC,SPP,1123.81
2003,DEC,IPP,3481.381
2003,FEB,EGAT,4632.862
2003,FEB,IMPORTED,140.375
2003,FEB,DEDP,1.575
2003,FEB,SPP,1049.509
2003,FEB,IPP,2995.594
2003,JAN,EGAT,4989.322000000001
2003,JAN,IMPORTED,189.802
2003,JAN,DEDP,1.155
