YEAR_PRD,MONTH_PRD,SECTOR,SUBSECTOR,QTY
2002,MAR,GSP,GSP,359
2002,MAR,Industry,Industry,161
2002,APR,Electricity,EGAT,1144
2002,APR,Electricity,IPP,380
2002,APR,Electricity,SPP,361
2002,APR,GSP,GSP,359
2002,APR,Industry,Industry,202
2002,MAY,Electricity,EGAT,1070
2002,MAY,Electricity,IPP,577
2002,MAY,Electricity,SPP,369
2002,MAY,GSP,GSP,339
2002,MAY,Industry,Industry,203
2002,JUN,Electricity,EGAT,1092
2002,JUN,Electricity,IPP,608
2002,JUN,Electricity,SPP,384
2002,JUN,GSP,GSP,349
2002,JUN,Industry,Industry,201
2002,JUL,Electricity,EGAT,1064
2002,JUL,Electricity,IPP,642
2002,JUL,Electricity,SPP,381
2002,JUL,GSP,GSP,357
2002,JUL,Industry,Industry,216
2002,AUG,Electricity,EGAT,1098
2002,AUG,Electricity,IPP,574
2002,AUG,Electricity,SPP,387
2002,AUG,GSP,GSP,360
2002,AUG,Industry,Industry,208
2002,SEP,Electricity,EGAT,1157
2002,SEP,Electricity,IPP,418
2002,SEP,Electricity,SPP,381
2002,SEP,GSP,GSP,365
2002,SEP,Industry,Industry,209
2002,OCT,Electricity,EGAT,1081
2002,OCT,Electricity,IPP,475
2002,OCT,Electricity,SPP,384
2002,OCT,GSP,GSP,433
2002,OCT,Industry,Industry,214
2002,NOV,Electricity,EGAT,907
2002,NOV,Electricity,IPP,572
2002,NOV,Electricity,SPP,385
2002,NOV,GSP,GSP,378
2002,NOV,Industry,Industry,201
2002,DEC,Electricity,EGAT,871
2002,DEC,Electricity,IPP,591
2002,DEC,Electricity,SPP,371
2002,DEC,GSP,GSP,380
2002,DEC,Industry,Industry,188
2003,JAN,Electricity,EGAT,889
2003,JAN,Electricity,IPP,483
2003,JAN,Electricity,SPP,392
2003,JAN,GSP,GSP,384
2003,JAN,Industry,Industry,222
2003,FEB,Electricity,EGAT,914
2003,FEB,Electricity,IPP,609
2003,FEB,Electricity,SPP,388
2003,FEB,GSP,GSP,397
2003,FEB,Industry,Industry,212
2003,MAR,Electricity,EGAT,1030
2003,MAR,Electricity,IPP,661
2003,MAR,Electricity,SPP,410
2003,MAR,GSP,GSP,380
2003,MAR,Industry,Industry,203
2003,APR,Electricity,EGAT,1077
2003,APR,Electricity,IPP,651
2003,APR,Electricity,SPP,392
2003,APR,GSP,GSP,379
2003,APR,Industry,Industry,217
2003,MAY,Electricity,EGAT,1129
2003,MAY,Electricity,IPP,639
2003,MAY,Electricity,SPP,393
2003,MAY,GSP,GSP,349
2003,MAY,Industry,Industry,200
2003,JUN,Electricity,EGAT,1046
2003,JUN,Electricity,IPP,657
2003,JUN,Electricity,SPP,391
2003,JUN,GSP,GSP,382
2003,JUN,Industry,Industry,219
2003,JUL,Electricity,EGAT,950
2003,JUL,Electricity,IPP,762
2003,JUL,Electricity,SPP,405
2003,JUL,GSP,GSP,385
2003,JUL,Industry,Industry,220
2003,AUG,Electricity,EGAT,999
2003,AUG,Electricity,IPP,730
2003,AUG,Electricity,SPP,404
2003,AUG,GSP,GSP,368
2003,AUG,Industry,Industry,203
2003,SEP,Electricity,EGAT,984
2003,SEP,Electricity,IPP,730
2003,SEP,Electricity,SPP,417
2003,SEP,GSP,GSP,398
2003,SEP,Industry,Industry,239
2003,OCT,Electricity,EGAT,1021
